name,age,nationality,height_cm,weight_kgs,body_type,positions,acceleration,sprint_speed,agility,dribbling,ball_control,short_passing,long_passing,vision,finishing,positioning,interceptions,standing_tackle,sliding_tackle,strength,stamina,crossing,heading_accuracy,volleys,curve,freekick_accuracy,shot_power,jumping,long_shots,aggression,marking,reactions,balance,composure,penalties,overall_rating,potential,value_euro,wage_euro,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),potential_level,growth_index,strength_index,attacking_score,midfield_score,defensive_score,recommended_role
I. Łasicki,23,Poland,182.88,69.9,Lean,CB,52,48,57,41,47,32,32,42,32,49,62,62,64,65,76,46,51,37,38,36,31,70,34,65,61,55,59,53,41,60,67,250000.0,6000.0,1,2,2,Low,7,44.6,38.25,45.5,63.25,Defender
Nuno Coelho,31,Portugal,182.88,76.2,Lean,"CDM,CB",66,50,64,57,65,71,65,55,33,47,78,73,68,68,71,55,65,43,47,39,58,81,52,81,74,74,67,69,46,72,72,2300000.0,5000.0,1,3,2,Medium,0,57.4,48.75,65.5,71.75,Defender
K. Kotsaris,22,Greece,185.42,74.8,Normal,GK,52,45,69,13,19,25,22,43,18,18,11,16,14,66,38,17,20,15,16,17,46,77,13,24,17,60,54,51,32,67,77,950000.0,1000.0,1,3,1,Medium,10,27.4,23.75,32.0,26.75,Midfielder
B. Parker,32,South Africa,170.18,64.9,Normal,"CF,ST,LM,CAM",74,72,77,75,71,70,61,67,70,69,31,19,24,39,74,67,72,64,71,66,70,78,69,60,56,65,82,69,73,70,70,1400000.0,1000.0,1,4,3,Medium,0,71.2,71.0,68.0,28.25,Attacker
N. Dicko,26,Mali,172.72,73.9,Stocky,ST,89,86,79,67,70,64,54,60,66,63,19,38,36,80,68,60,53,65,55,51,70,67,54,57,32,67,76,65,69,68,71,1100000.0,12000.0,1,3,3,Medium,3,65.0,66.5,61.5,43.25,Attacker
V. Guzmán,24,Mexico,175.26,81.2,Normal,"CM,CAM,CDM",75,76,72,73,74,78,74,71,71,72,69,65,67,64,81,63,79,48,63,67,75,78,74,66,71,75,74,70,66,75,80,9000000.0,24000.0,1,3,3,Medium,5,74.8,72.75,76.0,66.25,Midfielder
H. Cavero,22,Chile,154.94,71.2,Normal,"CB,LB",60,64,57,58,63,48,46,31,24,25,60,66,64,77,74,28,63,20,23,31,38,74,22,42,62,51,54,64,39,63,74,550000.0,1000.0,1,2,2,Medium,11,47.0,36.25,49.75,66.75,Defender
D. Torres,29,Colombia,182.88,81.2,Normal,"CDM,CM",57,53,68,69,70,72,73,71,55,62,77,74,72,78,77,62,61,48,57,50,73,81,61,85,71,77,62,77,72,75,75,5500000.0,21000.0,1,3,3,Medium,0,68.8,64.75,73.25,75.25,Defender
Alberto Martín,29,Spain,152.4,73.0,Lean,"CDM,CM",52,48,62,62,73,73,68,62,52,52,70,68,64,69,77,52,57,40,49,50,58,73,39,66,59,62,64,62,58,69,69,825000.0,5000.0,1,3,2,Medium,0,65.2,56.0,70.0,67.75,Midfielder
M. Fitzgerald,30,Japan,185.42,82.1,Normal,"CB,LB",61,59,66,45,56,56,54,40,37,41,58,64,62,87,66,51,61,22,23,29,51,47,45,64,59,54,47,52,33,63,63,290000.0,2000.0,1,3,2,Low,0,48.8,43.5,54.0,67.75,Defender
R. Hennings,31,Germany,154.94,79.8,Stocky,ST,66,69,63,66,69,64,56,59,73,72,36,35,34,78,85,61,67,68,68,66,82,74,73,78,38,73,68,69,70,73,73,3900000.0,26000.0,1,3,3,Medium,0,69.4,73.25,66.0,45.75,Attacker
J. Beyer,18,Germany,187.96,79.8,Lean,"RB,CB",69,67,74,55,55,62,49,43,29,43,59,69,67,58,64,53,57,31,28,35,46,83,30,64,63,62,69,48,42,64,80,825000.0,2000.0,1,3,2,Medium,16,50.6,43.25,54.5,63.25,Defender
O. Duarte,29,Costa Rica,185.42,81.2,Stocky,"CB,CDM",57,64,54,48,59,72,57,39,26,35,75,80,80,72,61,40,78,32,28,32,47,79,24,74,72,72,45,67,37,76,76,6000000.0,25000.0,1,3,2,Medium,0,49.2,39.0,57.25,76.75,Defender
N. Moro,20,Croatia,182.88,77.1,Normal,"CDM,CM",72,68,64,74,75,77,81,74,63,62,69,65,67,68,66,65,37,52,60,68,72,47,71,59,60,72,56,73,56,71,82,3600000.0,1000.0,1,4,3,High,11,70.8,67.75,74.5,67.25,Midfielder
D. Jubitana,19,Belgium,172.72,68.9,Normal,CAM,68,68,69,64,64,62,66,55,55,57,36,36,44,57,55,52,39,56,70,59,62,67,68,46,37,56,74,59,44,62,74,525000.0,1000.0,1,3,3,Medium,12,58.2,59.5,59.5,43.25,Attacker
F. Al Ansari,32,Kuwait,195.58,73.0,Lean,"CDM,CM,CB",54,62,60,67,72,78,74,74,43,58,64,66,61,77,72,54,60,44,65,70,69,33,68,63,63,66,45,73,38,70,70,1200000.0,13000.0,1,3,3,Medium,0,66.8,59.25,74.5,67.0,Midfielder
F. Woodman,22,England,190.5,83.0,Lean,GK,43,47,38,17,22,26,26,37,16,12,28,21,20,46,30,14,20,16,15,13,24,48,14,32,10,64,37,54,20,66,80,1200000.0,6000.0,1,2,1,Medium,14,25.2,17.25,29.75,28.75,Midfielder
W. Pleśnierowicz,17,Poland,182.88,74.8,Normal,CB,65,65,51,35,32,32,33,33,24,23,59,62,55,64,62,27,51,29,32,25,38,70,28,52,54,48,62,41,36,56,68,120000.0,1000.0,1,2,2,Medium,12,37.2,30.0,40.0,60.0,Defender
R. van La Parra,27,Netherlands,154.94,72.1,Normal,"LM,LW",79,84,75,82,78,68,60,62,58,68,34,48,36,66,61,64,38,51,67,57,67,55,54,58,36,65,75,66,63,72,72,3300000.0,31000.0,1,3,4,Medium,0,66.2,68.75,62.75,46.0,Attacker
F. Ibargüen,25,Colombia,182.88,77.1,Stocky,CB,66,63,58,42,46,44,37,39,35,31,65,66,63,65,65,25,61,27,30,25,42,61,40,69,56,57,67,47,41,62,69,375000.0,1000.0,1,3,2,Medium,7,45.0,37.5,46.25,64.75,Defender
Raúl,29,Brazil,187.96,81.2,Normal,CB,52,51,59,56,60,68,62,53,50,46,81,82,76,85,75,56,86,49,37,43,67,85,54,88,78,77,52,75,51,80,81,13500000.0,19000.0,1,3,2,Medium,1,60.4,54.75,64.5,81.0,Defender
M. Al Anazi,29,Saudi Arabia,152.4,79.8,Normal,GK,25,23,35,16,13,24,25,49,15,15,12,10,10,38,20,14,12,17,14,14,15,64,19,19,14,53,42,48,16,62,62,210000.0,2000.0,1,2,1,Low,0,24.8,15.25,29.5,17.5,Midfielder
J. Dunn,18,Canada,185.42,76.2,Lean,CB,59,52,40,27,29,30,20,33,21,23,48,52,52,61,52,20,49,26,21,23,37,70,24,48,50,43,57,42,38,51,74,70000.0,1000.0,1,3,2,Medium,23,32.6,27.0,33.75,53.25,Defender
P. Farkas,26,Austria,152.4,78.0,Normal,RB,79,85,76,65,64,65,64,56,57,54,59,65,64,65,88,66,58,39,67,38,75,73,63,71,64,54,76,63,35,68,71,925000.0,12000.0,1,3,3,Medium,3,66.2,62.75,68.25,63.25,Midfielder
M. Maloča,29,Croatia,190.5,78.0,Normal,CB,65,71,61,30,42,52,36,31,40,25,69,72,66,83,71,49,74,23,13,36,40,74,27,78,72,66,69,70,52,71,71,1800000.0,7000.0,1,2,2,Medium,0,44.8,33.75,47.5,72.5,Defender
Gonçalo Guedes,22,Portugal,152.4,68.0,Normal,"LM,ST,RM,LW",89,90,85,86,81,77,69,77,75,77,50,34,30,62,75,78,60,71,76,70,81,65,77,67,24,80,78,80,69,82,86,29000000.0,36000.0,1,4,4,High,4,78.0,79.75,74.5,44.0,Attacker
T. Partey,25,Ghana,185.42,77.1,Lean,"CDM,CM,RM,RB",73,76,72,79,81,83,77,73,63,62,78,83,80,81,89,66,68,53,68,58,80,84,77,81,78,81,53,75,49,82,88,25500000.0,59000.0,1,3,3,High,6,77.4,71.0,80.5,80.5,Midfielder
E. Erhahon,17,Scotland,172.72,64.0,Lean,"LB,LM",68,70,72,58,59,59,58,51,31,54,51,52,53,55,66,53,52,38,51,43,54,61,36,62,51,55,81,52,46,57,77,180000.0,1000.0,1,3,2,Medium,20,53.0,49.25,58.5,52.75,Midfielder
T. Abraham,21,England,190.5,79.8,Lean,ST,71,81,65,68,73,64,41,61,78,77,22,23,15,79,66,47,76,62,50,42,75,69,64,41,35,74,56,73,72,75,85,11000000.0,64000.0,1,3,3,High,10,67.4,74.5,58.0,34.75,Attacker
E. Bush,33,United States,185.42,83.0,Normal,GK,49,49,42,17,15,32,32,50,19,18,20,11,15,73,45,16,20,11,13,18,23,69,15,45,18,66,28,49,22,70,70,1000000.0,4000.0,1,2,1,Medium,0,32.6,19.25,39.75,29.75,Midfielder
T. Bergmann,22,Germany,154.94,74.8,Lean,"CDM,CAM",63,68,69,51,66,69,70,67,52,58,63,58,57,66,85,70,49,41,70,74,73,65,70,59,60,62,69,55,54,66,75,875000.0,1000.0,1,3,3,Medium,9,64.8,58.5,72.75,61.0,Midfielder
F. Lustenberger,30,Switzerland,154.94,69.9,Lean,"CB,CDM",63,53,65,61,70,72,67,63,32,32,83,80,78,68,68,45,71,35,38,36,47,85,35,75,80,77,66,72,50,77,77,6500000.0,26000.0,2,3,2,Medium,0,59.2,43.0,67.5,77.25,Defender
F. Andrijašević,27,Croatia,185.42,82.1,Normal,"CAM,CM,CF",65,69,53,70,72,70,65,71,70,74,46,58,54,78,70,56,74,68,69,61,74,69,69,69,51,67,48,70,70,71,72,2700000.0,13000.0,1,3,3,Medium,1,70.2,72.0,69.0,59.0,Attacker
Yuri Ribeiro,22,Portugal,152.4,73.9,Normal,LB,78,77,79,74,76,73,65,68,46,70,73,71,71,64,71,75,67,53,67,50,66,75,46,65,71,76,78,73,41,74,80,6500000.0,7000.0,1,3,3,Medium,6,66.4,64.0,69.25,69.75,Defender
E. Can,25,Germany,182.88,82.1,Normal,"CM,CDM",69,73,73,76,81,81,80,79,60,73,81,81,80,83,85,70,72,61,68,65,81,76,75,85,82,78,71,74,60,80,85,19500000.0,91000.0,2,4,3,High,5,76.2,72.5,81.25,81.25,Midfielder
Gonçalo Silva,27,Portugal,185.42,78.9,Normal,CB,60,62,59,40,51,65,51,35,28,30,71,77,72,73,84,37,73,31,36,36,48,64,29,78,72,68,59,68,48,73,75,3900000.0,6000.0,1,2,2,Medium,2,50.4,36.5,58.75,73.25,Defender
A. Taylor-Sinclair,27,Scotland,187.96,82.1,Lean,"LB,CB",73,78,77,60,55,52,47,50,26,49,58,60,57,68,78,55,54,25,57,58,59,74,30,65,56,62,67,61,40,62,63,280000.0,1000.0,1,3,2,Low,1,53.2,48.5,56.75,60.75,Defender
A. Boyle,28,Republic of Ireland,152.4,77.1,Normal,CB,63,53,59,43,54,61,57,43,30,37,60,69,68,83,74,48,63,24,36,24,54,58,36,61,64,57,64,60,43,66,68,625000.0,4000.0,1,2,2,Medium,2,50.2,41.0,58.75,70.0,Defender
J. Mendes,27,France,185.42,79.8,Normal,"ST,RM",68,79,66,61,58,56,44,51,64,65,38,45,19,78,48,51,68,59,59,57,66,71,60,55,19,54,60,56,63,65,65,575000.0,2000.0,1,3,2,Low,0,56.0,64.0,49.75,45.0,Attacker
M. Rosheuvel,28,Netherlands,175.26,79.8,Normal,RM,80,89,70,72,71,59,50,57,49,53,43,22,23,71,68,65,44,50,66,53,64,67,64,37,44,54,75,52,54,66,66,675000.0,3000.0,1,2,3,Low,0,61.0,59.5,58.5,39.75,Attacker
A. Bittroff,30,Germany,185.42,79.8,Lean,"RB,LB",71,84,66,64,62,62,54,41,30,46,54,63,58,73,74,62,58,38,49,45,61,62,47,73,62,63,59,66,47,64,64,350000.0,2000.0,1,3,3,Low,0,54.2,50.25,57.75,62.0,Defender
J. García,20,Mexico,185.42,72.1,Normal,GK,26,18,35,13,16,28,16,26,7,8,9,12,11,42,30,14,12,6,13,12,19,64,9,19,21,45,43,31,14,50,62,40000.0,1000.0,1,2,1,Low,12,20.8,11.75,25.0,18.5,Midfielder
I. Alibaev,25,Uzbekistan,172.72,62.1,Lean,"CM,RM,CDM,LM",63,67,56,59,63,71,71,70,63,63,57,54,48,53,76,51,57,30,65,66,70,60,71,63,52,52,82,60,39,67,71,975000.0,3000.0,1,5,2,Medium,4,67.8,63.75,72.0,53.0,Midfielder
Ryu Jae Moon,25,Korea Republic,182.88,72.1,Normal,"CM,CB",64,64,56,53,57,68,65,65,39,51,54,43,44,61,71,40,51,41,42,38,52,53,47,43,51,59,61,53,50,61,65,325000.0,1000.0,1,3,2,Low,4,59.2,48.75,67.25,50.5,Midfielder
